title;artist;feeling
Bonita Applebum;A Tribe Called Quest;Acoustic
Tell It Like It Is;Aaron Neville;Acoustic
Prince Charming;Adam And The Ants;Acoustic
Dude Looks Like A Lady;Aerosmith;Acoustic
Fallin;Alicia Keys;Acoustic
Jesus Hands;American Music Club;Acoustic
Boogie Woogie Bugle Boy;Andrews Sisters;Acoustic
Im Crying;Animals;Acoustic
Caught Up In The Rapture;Anita Baker;Acoustic
Wave;Antonio Carlos Jobim;Acoustic
Alices Restaurant Massacree;Arlo Guthrie;Acoustic
Sweet Little Angel;B.B. King;Acoustic
King Harvest Has Surely Come;Band;Acoustic
Cant Get Enough Of Your Love Babe;Barry White;Acoustic
Saturday Night;Bay City Rollers;Acoustic
I Get Around;Beach Boys;Acoustic
One Last Love Song;Beautiful South;Acoustic
Like Dylan In The Movies;Belle And Sebastian;Acoustic
Sometimes In Winter;Blood Sweat And Tears;Acoustic
You Cant Judge A Book By Its Cover;Bo Diddley;Acoustic
The Bridge Is Over;Boogie Down Productions;Acoustic
More Than A Feeling;Boston;Acoustic
Goodbye On A Beautiful Day;Burnshee Thornside;Acoustic
Wasnt Born To Follow;Byrds;Acoustic
On The Road Again;Canned Heat;Acoustic
Mood Indigo;Charles Mingus;Acoustic
Do You Love Me;Contours;Acoustic
Speedway;Counting Crows;Acoustic
Teach Your Children;Crosby Stills Nash And Young;Acoustic
Walk On By;Dionne Warwick;Acoustic
Catch The Wind;Donovan;Acoustic
Wonderful Tonight;Eric Clapton;Acoustic
Come On Home;Franz Ferdinand;Acoustic
I Will Survive;Gloria Gaynor;Acoustic
Heaven S The Place;Grayson Wray;Acoustic
Jag S Rag;Jag;Acoustic
Fire And Rain;James Taylor;Acoustic
Peaceful Planet;Kourosh Zolani;Acoustic
Who Can It Be Now;Men At Work;Acoustic
Torn;Natalie Imbruglia;Acoustic
Where Youll Find Me Now;Neutral Milk Hotel;Acoustic
I Have Been Floated;Olivia Tremor Control;Acoustic
Echoes;Pink Floyd;Acoustic
Sail Away;Randy Newman;Acoustic
Walking In The Rain;Ronettes;Acoustic
No Mans Woman;Sinad Oconnor;Acoustic
Just Like A Baby;Sly And The Family Stone;Acoustic
Behind The Wall Of Sleep;Smithereens;Acoustic
Ooo Baby Baby;Smokey Robinson And The Miracles;Acoustic
Laz 7 8;Solace;Acoustic
Strode Rode;Sonny Rollins;Acoustic
Keep On Movin;Soul Ii Soul;Acoustic
Stay;Spinecar;Acoustic
Golden Brown;Stranglers;Acoustic
New World;Strawbs;Acoustic
Heres Where The Story Ends;Sundays;Acoustic
What Love Has Joined Together;Syreeta;Acoustic
Since I Lost My Baby;Temptations;Acoustic
Like White On Rice;Thursday Group;Acoustic
Hotel Yorba;White Stripes;Acoustic
Bargain;Who;Acoustic
Prince Charming;Adam And The Ants;Acoustic Guitar
Jesus Hands;American Music Club;Acoustic Guitar
Alices Restaurant Massacree;Arlo Guthrie;Acoustic Guitar
You Cant Judge A Book By Its Cover;Bo Diddley;Acoustic Guitar
Teach Your Children;Crosby Stills Nash And Young;Acoustic Guitar
Catch The Wind;Donovan;Acoustic Guitar
Fire And Rain;James Taylor;Acoustic Guitar
New World;Strawbs;Acoustic Guitar
Heres Where The Story Ends;Sundays;Acoustic Guitar
Hotel Yorba;White Stripes;Acoustic Guitar
Bargain;Who;Acoustic Guitar
