,_id,id,title,artist,feeling,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,encoded
0,637697a12cd3e1466f056136,5N5fp1lYSORdZbWanACki9,Bonita Applebum,A Tribe Called Quest,Acoustic,0.874,0.0697,0.581,0.0239,0.416,0.663,-7.942,0.168,0
1,637697a62cd3e1466f056137,7GSRH3L0HAM3StkAkYVamC,Tell It Like It Is,Aaron Neville,Acoustic,0.61,0.449,0.376,2.18e-06,0.198,0.565,-9.194,0.0287,0
2,637697a82cd3e1466f056138,3JuwVgIYYl7tHeEGrEQqbg,Prince Charming,Adam And The Ants,Acoustic,0.544,0.179,0.667,3.94e-06,0.142,0.665,-9.526,0.0398,0
3,637697a92cd3e1466f056139,6gQUbFwwdYXlKdmqRoWKJe,Dude Looks Like A Lady,Aerosmith,Acoustic,0.54,0.435,0.982,3.37e-05,0.0457,0.91,-2.962,0.0458,0
4,637697a92cd3e1466f05613a,3unsLiH5FXmaDWtT5Imolu,Fallin,Alicia Keys,Acoustic,0.652,0.263,0.609,0.00101,0.233,0.482,-7.519,0.037,0
5,637697aa2cd3e1466f05613b,656zzqQjzIPQWcnH1ghHal,Jesus Hands,American Music Club,Acoustic,0.317,0.107,0.289,0.0,0.331,0.268,-13.587,0.0326,0
6,637697aa2cd3e1466f05613c,3axPhcbhVDOA9MnhkUrFcE,Boogie Woogie Bugle Boy,Andrews Sisters,Acoustic,0.64,0.881,0.479,0.000171,0.0973,0.79,-11.55,0.467,0
7,637697aa2cd3e1466f05613d,5zhHaQJXiD8jFVwhpPColg,Im Crying,Animals,Acoustic,0.553,0.0186,0.557,0.0051,0.353,0.804,-9.834,0.0322,0
8,637697aa2cd3e1466f05613e,1Df1rxgMob1qQudexDEKuu,Caught Up In The Rapture,Anita Baker,Acoustic,0.593,0.412,0.506,3.99e-06,0.048,0.378,-9.708,0.0263,0
9,637697aa2cd3e1466f05613f,3eE238SJrIlY9LE94pboJP,Wave,Antonio Carlos Jobim,Acoustic,0.116,0.986,0.179,0.918,0.107,0.0526,-19.414,0.035,0
10,637697ab2cd3e1466f056140,4OjKHySJHstsImlUW3qfml,Alices Restaurant Massacree,Arlo Guthrie,Acoustic,0.561,0.851,0.366,0.0,0.813,0.646,-14.14,0.327,0
11,637697ab2cd3e1466f056141,4xDugsnzDMX1z44ZTtxpO2,Sweet Little Angel,B.B. King,Acoustic,0.563,0.807,0.558,1.98e-05,0.154,0.558,-3.932,0.0364,0
12,637697ab2cd3e1466f056142,3pSZGrzRk69ESZ9TlCUX5b,King Harvest Has Surely Come,Band,Acoustic,0.579,0.517,0.693,0.14,0.0713,0.728,-8.023,0.0814,0
13,637697ac2cd3e1466f056143,3mWpUEBYnv9SIFWfixSJFx,Cant Get Enough Of Your Love Babe,Barry White,Acoustic,0.729,0.114,0.78,0.106,0.0759,0.795,-7.604,0.0631,0
14,637697ac2cd3e1466f056144,78zYiMv9yNTHgmm6kaUPCm,Saturday Night,Bay City Rollers,Acoustic,0.514,0.199,0.681,0.0356,0.0745,0.913,-10.026,0.065,0
15,637697ac2cd3e1466f056145,3v9xlH6BpmRbqL7hgNJhfT,I Get Around,Beach Boys,Acoustic,0.39,0.36,0.625,0.0,0.0663,0.514,-7.813,0.0537,0
16,637697ac2cd3e1466f056146,1tTjyohnUwV3a9mbFk0rp4,One Last Love Song,Beautiful South,Acoustic,0.3,0.315,0.389,0.000664,0.118,0.498,-9.012,0.0282,0
17,637697ac2cd3e1466f056147,7iqS4pS1eVQbsJGbJKVwQb,Like Dylan In The Movies,Belle And Sebastian,Acoustic,0.51,0.354,0.447,0.000144,0.14,0.66,-12.653,0.0279,0
18,637697ad2cd3e1466f056148,1vdEYqMaRGg0Wb4TFhOlyF,Sometimes In Winter,Blood Sweat And Tears,Acoustic,0.363,0.301,0.347,0.000712,0.238,0.11,-12.112,0.0474,0
19,637697ad2cd3e1466f056149,4HEmPMRG1Mz4pYEpYbWTO0,You Cant Judge A Book By Its Cover,Bo Diddley,Acoustic,0.847,0.239,0.322,0.0,0.0778,0.946,-12.922,0.0546,0
20,637697ad2cd3e1466f05614a,5jkjpSsMOfsxgdGScPZVq2,The Bridge Is Over,Boogie Down Productions,Acoustic,0.822,0.0173,0.447,0.0,0.0643,0.556,-9.836,0.448,0
21,637697ad2cd3e1466f05614b,1QEEqeFIZktqIpPI4jSVSF,More Than A Feeling,Boston,Acoustic,0.377,0.00088,0.681,0.0023,0.0504,0.285,-8.039,0.0298,0
22,637697ae2cd3e1466f05614c,4seOGOaa0D9dVixDFvlllz,Goodbye On A Beautiful Day,Burnshee Thornside,Acoustic,0.669,0.0434,0.226,4.72e-05,0.0729,0.182,-10.531,0.0302,0
23,637697ae2cd3e1466f05614d,3Lk77QOBVywNAVSqOPcuw2,Wasnt Born To Follow,Byrds,Acoustic,0.48,0.233,0.435,7.75e-05,0.204,0.538,-8.851,0.0359,0
24,637697af2cd3e1466f05614e,1GwdWdvSumgsgKorY9qA2g,On The Road Again,Canned Heat,Acoustic,0.466,0.879,0.182,0.0556,0.341,0.216,-19.537,0.0457,0
25,637697af2cd3e1466f05614f,2Z7ktNuO2YsY2wS5FC62k4,Mood Indigo,Charles Mingus,Acoustic,0.348,0.933,0.107,0.887,0.1,0.115,-22.793,0.0306,0
26,637697af2cd3e1466f056150,0Omt3rVppHIlYFXNL1VWgL,Do You Love Me,Contours,Acoustic,0.596,0.586,0.793,1.86e-06,0.108,0.8,-6.611,0.0421,0
27,637697b02cd3e1466f056151,27bQfFb46hdVoU21UQtnDy,Speedway,Counting Crows,Acoustic,0.642,0.517,0.39,0.0153,0.117,0.472,-10.658,0.0414,0
28,637697b02cd3e1466f056152,29HaKOpeLSYvqdFyEQSRdj,Teach Your Children,Crosby Stills Nash And Young,Acoustic,0.497,0.643,0.285,1.69e-05,0.389,0.667,-14.537,0.0264,0
29,637697b02cd3e1466f056153,3xsOtNxtBW0oTI1OWKAzTm,Walk On By,Dionne Warwick,Acoustic,0.7,0.719,0.33,8.6e-05,0.136,0.524,-9.027,0.0303,0
30,637697b22cd3e1466f056154,6aXKbU2QGsOms8UT3eUOg1,Catch The Wind,Donovan,Acoustic,0.385,0.452,0.305,7.69e-06,0.128,0.547,-12.167,0.0296,0
31,637697b22cd3e1466f056155,6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,Eric Clapton,Acoustic,0.572,0.649,0.214,0.129,0.125,0.485,-15.625,0.0293,0
32,637697b32cd3e1466f056156,0ORabtkmYYOk5X8GfHUPDZ,Come On Home,Franz Ferdinand,Acoustic,0.577,0.000704,0.869,0.219,0.0764,0.481,-8.907,0.0458,0
33,637697b32cd3e1466f056157,4xmjDH6auBwuZ4GHimjXGe,I Will Survive,Gloria Gaynor,Acoustic,0.771,0.0137,0.649,0.00111,0.324,0.653,-10.375,0.0434,0
34,637697b32cd3e1466f056158,3538wtuGLZZg0Nl2fr3ei8,Heaven S The Place,Grayson Wray,Acoustic,0.701,0.364,0.582,0.000706,0.0729,0.575,-6.858,0.0615,0
35,637697b32cd3e1466f056159,0zOj2yqfaOKalF4tnwnU9i,Jag S Rag,Jag,Acoustic,0.57,0.724,0.363,0.608,0.093,0.894,-14.304,0.0478,0
36,637697b32cd3e1466f05615a,1oht5GevPN9t1T3kG1m1GO,Fire And Rain,James Taylor,Acoustic,0.597,0.766,0.271,0.0119,0.0933,0.338,-17.293,0.0394,0
37,637697b32cd3e1466f05615b,0rBhcZUu4AlUZwFBKNhyCi,Peaceful Planet,Kourosh Zolani,Acoustic,0.243,0.908,0.434,0.77,0.104,0.126,-10.54,0.034,0
38,637697b32cd3e1466f05615c,5rfJ2Bq2PEL8yBjZLzouEu,Who Can It Be Now,Men At Work,Acoustic,0.805,0.0627,0.479,0.000143,0.104,0.962,-14.734,0.0436,0
39,637697b32cd3e1466f05615d,1Jaah2tmN9Hv81A87KZ1MU,Torn,Natalie Imbruglia,Acoustic,0.575,0.0647,0.886,0.000187,0.709,0.609,-5.182,0.034,0
40,637697b42cd3e1466f05615e,1c7ZaXMJKgOFXet5W59B8s,Where Youll Find Me Now,Neutral Milk Hotel,Acoustic,0.176,0.0454,0.327,0.0412,0.472,0.148,-16.0,0.0327,0
41,637697b42cd3e1466f05615f,1T2aLhiYmofwrl53oEhywa,I Have Been Floated,Olivia Tremor Control,Acoustic,0.252,0.155,0.429,2.08e-05,0.203,0.23,-11.759,0.0319,0
42,637697b42cd3e1466f056160,7kriFJLY2KOhw5en9iI2jb,Echoes,Pink Floyd,Acoustic,0.285,0.367,0.322,0.649,0.107,0.138,-16.58,0.0445,0
43,637697b52cd3e1466f056161,79zQv3SsEOmyPAgUP4YDjz,Sail Away,Randy Newman,Acoustic,0.341,0.936,0.161,0.000488,0.12,0.0961,-12.324,0.0326,0
44,637697b52cd3e1466f056162,6LHzCuLzfZQr0V8eZD9TPC,Walking In The Rain,Ronettes,Acoustic,0.495,0.434,0.649,0.0,0.1,0.403,-8.295,0.032,0
45,637697b52cd3e1466f056163,1aPFLpNNczxjY34qdKVJLg,Just Like A Baby,Sly And The Family Stone,Acoustic,0.84,0.00891,0.398,0.361,0.0921,0.466,-13.419,0.0333,0
46,637697b62cd3e1466f056164,4T5Rcn6qefZOUMgDb8AkEt,Behind The Wall Of Sleep,Smithereens,Acoustic,0.42,0.00749,0.846,0.000101,0.161,0.542,-11.774,0.0482,0
47,637697b62cd3e1466f056165,3nsJGZ5RV2ZHkbKvD771gU,Ooo Baby Baby,Smokey Robinson And The Miracles,Acoustic,0.185,0.81,0.344,0.0,0.166,0.424,-9.378,0.0295,0
48,637697b62cd3e1466f056166,1gT32jweCJvrgK3j5fsn4E,Strode Rode,Sonny Rollins,Acoustic,0.468,0.39,0.393,0.00307,0.21,0.849,-12.52,0.0368,0
49,637697b72cd3e1466f056167,7upgDi9C0pQn9HZzGfksJq,Keep On Movin,Soul Ii Soul,Acoustic,0.676,0.0264,0.386,0.00054,0.0414,0.671,-16.148,0.0633,0
50,637697b72cd3e1466f056168,0D3mdBIOeoODGv1YAtJdQz,Stay,Spinecar,Acoustic,0.496,0.00213,0.872,0.0249,0.712,0.414,-10.898,0.0422,0
51,637697b72cd3e1466f056169,2AX5E86cn9n2dgioZEjirI,Golden Brown,Stranglers,Acoustic,0.562,0.143,0.383,0.124,0.138,0.599,-15.474,0.0304,0
52,637697b82cd3e1466f05616a,7fJ4NnQhLZgY487khEMTEH,New World,Strawbs,Acoustic,0.276,0.0073,0.396,0.235,0.384,0.368,-16.146,0.038,0
53,637697b82cd3e1466f05616b,5gSHlT2SI0dtjeHrjj96A1,Heres Where The Story Ends,Sundays,Acoustic,0.622,0.288,0.693,1.06e-06,0.136,0.843,-8.619,0.0274,0
54,637697b82cd3e1466f05616c,3mnapz5AJj6MUcpkAZBdVq,What Love Has Joined Together,Syreeta,Acoustic,0.423,0.497,0.634,0.0,0.156,0.454,-6.97,0.046,0
55,637697b82cd3e1466f05616d,1uzcPl4GZSU9Ysl1ZcMLTb,Since I Lost My Baby,Temptations,Acoustic,0.52,0.13,0.679,1.74e-06,0.0556,0.92,-5.888,0.0259,0
56,637697b82cd3e1466f05616e,3aHNN6EjP9tkNAlDPqajFj,Like White On Rice,Thursday Group,Acoustic,0.469,0.018,0.46,0.0347,0.263,0.757,-12.817,0.0899,0
57,637697b82cd3e1466f05616f,4faZbPZPQAmHADVtQNsv5E,Hotel Yorba,White Stripes,Acoustic,0.392,0.443,0.773,0.0,0.0941,0.75,-2.763,0.102,0
58,637697b82cd3e1466f056170,4Vtl42qX97JBj68TKifBHR,Bargain,Who,Acoustic,0.452,0.0169,0.888,0.00341,0.17,0.336,-7.994,0.054,0
59,637697b82cd3e1466f056171,3JuwVgIYYl7tHeEGrEQqbg,Prince Charming,Adam And The Ants,Acoustic Guitar,0.544,0.179,0.667,3.94e-06,0.142,0.665,-9.526,0.0398,1
60,637697b92cd3e1466f056172,656zzqQjzIPQWcnH1ghHal,Jesus Hands,American Music Club,Acoustic Guitar,0.317,0.107,0.289,0.0,0.331,0.268,-13.587,0.0326,1
61,637697b92cd3e1466f056173,4OjKHySJHstsImlUW3qfml,Alices Restaurant Massacree,Arlo Guthrie,Acoustic Guitar,0.561,0.851,0.366,0.0,0.813,0.646,-14.14,0.327,1
62,637697b92cd3e1466f056174,4HEmPMRG1Mz4pYEpYbWTO0,You Cant Judge A Book By Its Cover,Bo Diddley,Acoustic Guitar,0.847,0.239,0.322,0.0,0.0778,0.946,-12.922,0.0546,1
63,637697b92cd3e1466f056175,29HaKOpeLSYvqdFyEQSRdj,Teach Your Children,Crosby Stills Nash And Young,Acoustic Guitar,0.497,0.643,0.285,1.69e-05,0.389,0.667,-14.537,0.0264,1
64,637697b92cd3e1466f056176,6aXKbU2QGsOms8UT3eUOg1,Catch The Wind,Donovan,Acoustic Guitar,0.385,0.452,0.305,7.69e-06,0.128,0.547,-12.167,0.0296,1
65,637697b92cd3e1466f056177,1oht5GevPN9t1T3kG1m1GO,Fire And Rain,James Taylor,Acoustic Guitar,0.597,0.766,0.271,0.0119,0.0933,0.338,-17.293,0.0394,1
66,637697b92cd3e1466f056178,7fJ4NnQhLZgY487khEMTEH,New World,Strawbs,Acoustic Guitar,0.276,0.0073,0.396,0.235,0.384,0.368,-16.146,0.038,1
67,637697b92cd3e1466f056179,5gSHlT2SI0dtjeHrjj96A1,Heres Where The Story Ends,Sundays,Acoustic Guitar,0.622,0.288,0.693,1.06e-06,0.136,0.843,-8.619,0.0274,1
68,637697b92cd3e1466f05617a,4faZbPZPQAmHADVtQNsv5E,Hotel Yorba,White Stripes,Acoustic Guitar,0.392,0.443,0.773,0.0,0.0941,0.75,-2.763,0.102,1
69,637697ba2cd3e1466f05617b,4Vtl42qX97JBj68TKifBHR,Bargain,Who,Acoustic Guitar,0.452,0.0169,0.888,0.00341,0.17,0.336,-7.994,0.054,1
70,637697ba2cd3e1466f05617c,1SIwEtA6vOapGw7fA7T9Gy,Trapped,2Pac,Aggressive,0.773,0.0118,0.297,0.000132,0.137,0.442,-17.819,0.335,2
71,637697ba2cd3e1466f05617d,2d4e45fmUnguxh6yqC7gNT,Dirty Deeds Done Dirt Cheap,Ac Dc,Aggressive,0.668,0.214,0.906,0.00245,0.135,0.507,-4.881,0.17,2
72,637697ba2cd3e1466f05617e,5zhHaQJXiD8jFVwhpPColg,Im Crying,Animals,Aggressive,0.553,0.0186,0.557,0.0051,0.353,0.804,-9.834,0.0322,2
73,637697ba2cd3e1466f05617f,53T0V3jTJDs3kIqwvlgspI,Come To Daddy,Aphex Twin,Aggressive,0.421,0.0764,0.944,0.815,0.119,0.222,-9.179,0.302,2
74,637697ba2cd3e1466f056180,3ZidgUvrmVNhroQqjSpVYE,Bug Powder Dust,Bomb The Bass,Aggressive,0.775,0.0827,0.605,0.000915,0.201,0.418,-10.696,0.0437,2
75,637697ba2cd3e1466f056181,1YiAY1oCmkFjUabQL9gos4,Dream Police,Cheap Trick,Aggressive,0.476,0.0446,0.766,0.0053,0.214,0.68,-11.435,0.038,2
76,637697ba2cd3e1466f056182,3QJ4TCO6GQNuQWRq2jQLAs,Hate,Hybris,Aggressive,0.334,0.0312,0.718,0.0305,0.105,0.145,-10.098,0.0519,2
77,637697bb2cd3e1466f056183,1rWqHyCTjYdYzLjI5ZQl2v,Last Depression,Skitzo,Aggressive,0.276,8.01e-05,0.962,0.524,0.0691,0.133,-6.783,0.105,2
78,637697bb2cd3e1466f056184,6ubaJfRRDSG2YX5j1ZJvtQ,Crawlspace,Soulprint,Aggressive,0.452,0.000209,0.579,0.0102,0.059,0.702,-10.486,0.0351,2
79,637697bb2cd3e1466f056185,6fybp4N6eW3bsFAvARxyVe,Aint Talkin Bout Love,Van Halen,Aggressive,0.518,0.021,0.938,0.000305,0.288,0.71,-5.964,0.0416,2
80,637697bb2cd3e1466f056186,53T0V3jTJDs3kIqwvlgspI,Come To Daddy,Aphex Twin,Altered With Effects,0.421,0.0764,0.944,0.815,0.119,0.222,-9.179,0.302,3
81,637697bb2cd3e1466f056187,3DgL05rqVUuVLeSW3J9MIb,Don T Look Back,Artemis,Altered With Effects,0.512,0.0562,0.687,0.00227,0.0979,0.386,-6.053,0.039,3
